YEAR,M,CPI,EMP,UNEMP
1961,1,.,.,.
1961,2,.,.,.
1961,3,.,.,.
1961,4,.,.,.
1961,5,.,.,.
1961,6,.,.,.
1961,7,.,.,.
1961,8,.,.,.
1961,9,.,.,.
1961,10,.,.,.
1961,11,.,.,.
1961,12,.,.,.
1962,1,.,.,.
1962,2,.,.,.
1962,3,.,.,.
1962,4,.,.,.
1962,5,.,.,.
1962,6,.,.,.
1962,7,.,.,.
1962,8,.,.,.
1962,9,.,.,.
1962,10,.,.,.
1962,11,.,.,.
1962,12,.,.,.
1963,1,.,.,.
1963,2,.,.,.
1963,3,.,.,.
1963,4,.,.,.
1963,5,.,.,.
1963,6,.,.,.
1963,7,.,.,.
1963,8,.,.,.
1963,9,.,.,.
1963,10,.,.,.
1963,11,.,.,.
1963,12,.,.,.
1964,1,.,.,.
1964,2,.,.,.
1964,3,.,.,.
1964,4,.,.,.
1964,5,.,.,.
1964,6,.,.,.
1964,7,.,.,.
1964,8,.,.,.
1964,9,.,.,.
1964,10,.,.,.
1964,11,.,.,.
1964,12,.,.,.
1965,1,.,.,.
1965,2,.,.,.
1965,3,.,.,.
1965,4,.,.,.
1965,5,.,.,.
1965,6,.,.,.
1965,7,.,.,.
1965,8,.,.,.
1965,9,.,.,.
1965,10,.,.,.
1965,11,.,.,.
1965,12,.,.,.
1966,1,.,.,.
1966,2,.,.,.
1966,3,.,.,.
1966,4,.,.,.
1966,5,.,.,.
1966,6,.,.,.
1966,7,.,.,.
1966,8,.,.,.
1966,9,.,.,.
1966,10,.,.,.
1966,11,.,.,.
1966,12,.,.,.
1967,1,.,.,.
1967,2,.,.,.
1967,3,.,.,.
1967,4,.,.,.
1967,5,.,.,.
1967,6,.,.,.
1967,7,.,.,.
1967,8,.,.,.
1967,9,.,.,.
1967,10,.,.,.
1967,11,.,.,.
1967,12,.,.,.
1968,1,.,.,.
1968,2,.,.,.
1968,3,.,.,.
1968,4,.,.,.
1968,5,.,.,.
1968,6,.,.,.
1968,7,.,.,.
1968,8,.,.,.
1968,9,.,.,.
1968,10,.,.,.
1968,11,.,.,.
1968,12,.,.,.
1969,1,.,.,.
1969,2,.,.,.
1969,3,.,.,.
1969,4,.,.,.
1969,5,.,.,.
1969,6,.,.,.
1969,7,.,.,.
1969,8,.,.,.
1969,9,.,.,.
1969,10,.,.,.
1969,11,.,.,.
1969,12,.,.,.
1970,1,.,.,.
1970,2,.,.,.
1970,3,.,.,.
1970,4,.,.,.
1970,5,.,.,.
1970,6,.,.,.
1970,7,.,.,.
1970,8,.,.,.
1970,9,.,.,.
1970,10,.,.,.
1970,11,.,.,.
1970,12,.,.,.
1971,1,.,.,.
1971,2,.,.,.
1971,3,.,.,.
1971,4,.,.,.
1971,5,.,.,.
1971,6,.,.,.
1971,7,.,.,.
1971,8,.,.,.
1971,9,.,.,.
1971,10,.,.,.
1971,11,.,.,.
1971,12,.,.,.
1972,1,.,.,.
1972,2,.,.,.
1972,3,.,.,.
1972,4,.,.,.
1972,5,.,.,.
1972,6,.,.,.
1972,7,.,.,.
1972,8,.,.,.
1972,9,.,.,.
1972,10,.,.,.
1972,11,.,.,.
1972,12,.,.,.
1973,1,.,.,.
1973,2,.,.,.
1973,3,.,.,.
1973,4,.,.,.
1973,5,.,.,.
1973,6,.,.,.
1973,7,.,.,.
1973,8,.,.,.
1973,9,.,.,.
1973,10,.,.,.
1973,11,.,.,.
1973,12,.,.,.
1974,1,.,.,.
1974,2,.,.,.
1974,3,.,.,.
1974,4,.,.,.
1974,5,.,.,.
1974,6,.,.,.
1974,7,.,.,.
1974,8,.,.,.
1974,9,.,.,.
1974,10,.,.,.
1974,11,.,.,.
1974,12,.,.,.
1975,1,.,.,.
1975,2,.,.,.
1975,3,.,.,.
1975,4,.,.,.
1975,5,.,.,.
1975,6,.,.,.
1975,7,.,.,.
1975,8,.,.,.
1975,9,.,.,.
1975,10,.,.,.
1975,11,.,.,.
1975,12,.,.,.
1976,1,.,9271.4,815.7
1976,2,.,9324.5,808.2
1976,3,.,9428.4,776.7
1976,4,.,9503,773.2
1976,5,.,9766.4,714.9
1976,6,.,10030.9,708.4
1976,7,.,10221.8,785.8
1976,8,.,10206.6,715.1
1976,9,.,9864,668.5
1976,10,.,9844.1,683
1976,11,.,9789.7,717.8
1976,12,.,9719.1,758.3
1977,1,.,9485.7,894.3
1977,2,.,9534.7,931.4
1977,3,.,9591.3,939
1977,4,.,9649.1,922
1977,5,.,9996.2,832.6
1977,6,.,10183,822
1977,7,.,10373.3,883.2
1977,8,.,10369.5,845.2
1977,9,.,10004.4,812.8
1977,10,.,10025.5,798.9
1977,11,.,9939.6,848.9
1977,12,.,9853.5,886.4
1978,1,.,9625,990.4
1978,2,.,9728.8,1007.8
1978,3,.,9828.7,1056.2
1978,4,.,9877.5,1012.8
1978,5,.,10224,949.8
1978,6,.,10481.7,913.2
1978,7,.,10723.9,941.3
1978,8,.,10732.1,907.7
1978,9,.,10371.1,857.8
1978,10,.,10433.8,809.6
1978,11,.,10350.3,867.5
1978,12,.,10266.5,897.1
1979,1,.,10075.5,1016.3
1979,2,.,10145.4,1001.4
1979,3,.,10264.2,1012
1979,4,.,10343.8,976.4
1979,5,.,10684.2,870.7
1979,6,.,10923.1,829.9
1979,7,.,11199.3,811
1979,8,.,11204,790.6
1979,9,.,10819.8,740.9
1979,10,.,10866.1,769.7
1979,11,.,10798.4,791.5
1979,12,.,10699.1,807.8
1980,1,.,10508.8,971.5
1980,2,.,10551,969.2
1980,3,.,10629.6,998.4
1980,4,.,10705,967.1
1980,5,.,10952.9,926.8
1980,6,.,11274.8,915.2
1980,7,.,11425.7,888.5
1980,8,.,11442.2,867.6
1980,9,.,11123.3,799.3
1980,10,.,11142.1,794.5
1980,11,.,11083.3,808.7
1980,12,.,10970,837
1981,1,.,10806.4,972.9
1981,2,.,10929.7,959
1981,3,.,10984.9,1017.2
1981,4,.,11071.5,919.6
1981,5,.,11405.1,883.9
1981,6,.,11717,880.9
1981,7,.,11835.7,864.5
1981,8,.,11836.6,824
1981,9,.,11399.9,921.4
1981,10,.,11360.5,932.8
1981,11,.,11247.1,962.9
1981,12,.,11065.9,1030.4
1982,1,.,10801.5,1143.2
1982,2,.,10823.4,1161.5
1982,3,.,10858.1,1279.2
1982,4,.,10834.8,1276.8
1982,5,.,11078.7,1285.7
1982,6,.,11260.8,1343.5
1982,7,.,11355.3,1446.6
1982,8,.,11242.8,1431.7
1982,9,.,10879,1391
1982,10,.,10852.6,1456.4
1982,11,.,10721.9,1512.1
1982,12,.,10615.1,1570
1983,1,.,10400.1,1680.2
1983,2,.,10484,1670.7
1983,3,.,10600.5,1737.6
1983,4,.,10692.2,1649.4
1983,5,.,11058.4,1571.5
1983,6,.,11336.4,1526.8
1983,7,.,11535.9,1481.4
1983,8,.,11540.9,1427.5
1983,9,.,11245.2,1314
1983,10,.,11229.2,1292.8
1983,11,.,11114.9,1335.9
1983,12,.,11026.3,1379.5
1984,1,.,10756.2,1501.2
1984,2,.,10863.8,1510.3
1984,3,.,10926.7,1582.7
1984,4,.,10988.6,1530.8
1984,5,.,11346.3,1506.6
1984,6,.,11619.7,1407.8
1984,7,.,11839.9,1381.1
1984,8,.,11774.6,1393.8
1984,9,.,11439.7,1403.6
1984,10,.,11446.4,1356
1984,11,.,11337.6,1412.3
1984,12,.,11281.3,1367.9
1985,1,.,11106.5,1471.4
1985,2,.,11164.5,1473.8
1985,3,.,11248.2,1577.3
1985,4,.,11359.7,1476.4
1985,5,.,11717.2,1380.1
1985,6,.,11925.3,1351.9
1985,7,.,12155.7,1327.4
1985,8,.,12139.3,1307
1985,9,.,11794.8,1233.4
1985,10,.,11811.2,1252.5
1985,11,.,11764,1295.3
1985,12,.,11709.6,1270.2
1986,1,.,11523.4,1391.2
1986,2,.,11579.2,1389.1
1986,3,.,11645.3,1438.5
1986,4,.,11791.8,1349.1
1986,5,.,12080.7,1266.7
1986,6,.,12373.4,1242.5
1986,7,.,12480.7,1255.2
1986,8,.,12452.3,1237.3
1986,9,.,12102.2,1165.1
1986,10,.,12116.3,1151.4
1986,11,.,12026,1191.4
1986,12,.,11930.8,1213.1
1987,1,.,11714.4,1362.5
1987,2,.,11794,1357.7
1987,3,.,11881.9,1419.3
1987,4,.,12011.1,1299.7
1987,5,.,12383.7,1206.9
1987,6,.,12666,1168.3
